geo_name|state_us_abbreviation|housing_unit_count_100_percent
Autauga County|AL|22135
Baldwin County|AL|104061
Barbour County|AL|11829
Bibb County|AL|8981
Blount County|AL|23887
Bullock County|AL|4493
Butler County|AL|9964
Calhoun County|AL|53289
Chambers County|AL|17004
Cherokee County|AL|16267
Chilton County|AL|19278
Choctaw County|AL|7269
Clarke County|AL|12638
Clay County|AL|6776
Cleburne County|AL|6718
Coffee County|AL|22330
Colbert County|AL|25758
Conecuh County|AL|7093
Coosa County|AL|6478
Covington County|AL|18829
Crenshaw County|AL|6735
Cullman County|AL|37054
Dale County|AL|22677
Dallas County|AL|20208
DeKalb County|AL|31109
Elmore County|AL|32657
Escambia County|AL|16486
Etowah County|AL|47454
Fayette County|AL|8437
Franklin County|AL|14022
Geneva County|AL|12687
Greene County|AL|5007
Hale County|AL|7655
Henry County|AL|8891
Houston County|AL|45319
Jackson County|AL|24786
Jefferson County|AL|300552
Lamar County|AL|7354
Lauderdale County|AL|43791
Lawrence County|AL|15229
Lee County|AL|62391
Limestone County|AL|34977
Lowndes County|AL|5140
Macon County|AL|10259
Madison County|AL|146447
Marengo County|AL|10237
Marion County|AL|14737
Marshall County|AL|40342
Mobile County|AL|178196
Monroe County|AL|11333
Montgomery County|AL|101641
Morgan County|AL|51193
Perry County|AL|4737
Pickens County|AL|9483
Pike County|AL|15267
Randolph County|AL|11982
Russell County|AL|24595
St. Clair County|AL|35541
Shelby County|AL|80970
Sumter County|AL|6786
Talladega County|AL|37088
Tallapoosa County|AL|22111
Tuscaloosa County|AL|84872
Walker County|AL|30816
Washington County|AL|8407
Wilcox County|AL|5649
Winston County|AL|13469
Aleutians East Borough|AK|747
Aleutians West Census Area|AK|1929
Anchorage Municipality|AK|113032
Bethel Census Area|AK|5919
Bristol Bay Borough|AK|969
Denali Borough|AK|1771
Dillingham Census Area|AK|2427
Fairbanks North Star Borough|AK|41783
Desha County|AR|6261
Haines Borough|AK|1631
Hoonah-Angoon Census Area|AK|1771
Juneau City and Borough|AK|13055
Kenai Peninsula Borough|AK|30578
Ketchikan Gateway Borough|AK|6166
Kodiak Island Borough|AK|5303
Lake and Peninsula Borough|AK|1502
Matanuska-Susitna Borough|AK|41329
Nome Census Area|AK|4008
North Slope Borough|AK|2500
Northwest Arctic Borough|AK|2707
Petersburg Census Area|AK|1994
Prince of Wales-Hyder Census Area|AK|2992
Sitka City and Borough|AK|4102
Skagway Municipality|AK|636
Southeast Fairbanks Census Area|AK|3915
Valdez-Cordova Census Area|AK|6102
Wade Hampton Census Area|AK|2183
Wrangell City and Borough|AK|1428
Yakutat City and Borough|AK|450
Yukon-Koyukuk Census Area|AK|4038
Apache County|AZ|32514
Cochise County|AZ|59041
Coconino County|AZ|63321
Gila County|AZ|32698
Graham County|AZ|12980
Greenlee County|AZ|4372
La Paz County|AZ|16049
Maricopa County|AZ|1639279
Mohave County|AZ|110911
Navajo County|AZ|56938
Pima County|AZ|440909
Pinal County|AZ|159222
Santa Cruz County|AZ|18010
Yavapai County|AZ|110432
Yuma County|AZ|87850
Arkansas County|AR|9436
Ashley County|AR|10137
Baxter County|AR|22580
Benton County|AR|93084
Boone County|AR|16827
Bradley County|AR|5860
Calhoun County|AR|2897
Carroll County|AR|13559
Chicot County|AR|5421
Clark County|AR|10385
Clay County|AR|8031
Cleburne County|AR|15826
Cleveland County|AR|4064
Columbia County|AR|11596
Conway County|AR|9720
Craighead County|AR|40515
Crawford County|AR|26115
Crittenden County|AR|21489
Cross County|AR|7853
Dallas County|AR|4305
Drew County|AR|8408
Faulkner County|AR|46612
Franklin County|AR|8021
Fulton County|AR|6778
Garland County|AR|50548
Grant County|AR|7758
Greene County|AR|17892
Hempstead County|AR|10419
Hot Spring County|AR|14332
Howard County|AR|6238
Independence County|AR|16187
Izard County|AR|7232
Jackson County|AR|7601
Jefferson County|AR|33006
Johnson County|AR|11311
Lafayette County|AR|4353
Lawrence County|AR|8000
Lee County|AR|4356
Lincoln County|AR|4860
Little River County|AR|6460
Logan County|AR|10108
Lonoke County|AR|27239
Madison County|AR|7481
Marion County|AR|9354
Miller County|AR|19281
Mississippi County|AR|20459
Monroe County|AR|4455
Montgomery County|AR|5763
Nevada County|AR|4563
Newton County|AR|4664
Ouachita County|AR|13121
Perry County|AR|4907
Phillips County|AR|10126
Pike County|AR|5580
Poinsett County|AR|10923
Polk County|AR|10002
Pope County|AR|25551
Prairie County|AR|4503
Pulaski County|AR|175555
Randolph County|AR|8513
St. Francis County|AR|10903
Saline County|AR|44811
Scott County|AR|5193
